Estimate summary,,,,,,,,,
Upfront cost,Monthly cost,Total 12 months cost,Currency,,,,,,
1530,13891.15,168223.8,USD,,,,,,
,,* Includes upfront cost,,,,,,,
,,,,,,,,,
,,,,,,,,,
Detailed Estimate,,,,,,,,,
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Status,Configuration summary
Increased_Cost Estimate,US East (N. Virginia),Web servers,Amazon EC2 ,0,3924.48,47093.76,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 160), Advance EC2 instance (t4g.medium), Pricing strategy (On-Demand Utilization: 100 %Utilized/Month), Enable monitoring (disabled), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
Increased_Cost Estimate,US East (N. Virginia),Application load balancers,Application Load Balancer,0,308.45,3701.4,USD,,Number of Application Load Balancers (1)
Increased_Cost Estimate,US East (N. Virginia),S3,S3 Standard,0,48.03,576.36,USD,,S3 Standard storage (1500 GB per month)
Increased_Cost Estimate,US East (N. Virginia),S3,Data Transfer,0,92.16,1105.92,USD,,"DT Inbound: Internet (100 TB per month), DT Outbound: Amazon CloudFront (100 TB per month), DT Outbound: Internet (1 TB per month)"
Increased_Cost Estimate,US East (N. Virginia),CloudFront,Amazon CloudFront,0,155,1860,USD,,"Data transfer out to internet (1000 GB per month), Data transfer out to origin (1000 GB per month), Number of requests (HTTPS) (50000000 per month)"
Increased_Cost Estimate,US East (N. Virginia),Elastic IP,Amazon Elastic IP,0,232.5,2790,USD,,"Number of EC2 instances (50), Number of EIPs per instance (2)"
Increased_Cost Estimate,US East (N. Virginia),API Gateway for Application Server,Amazon API Gateway,0,1915.9,22990.8,USD,,"HTTP API requests units (millions), Average size of each request (34 KB), REST API request units (millions), Cache memory size (GB) (None), WebSocket message units (thousands), Average message size (32 KB), Requests (0 per month), Requests (601 per month)"
Increased_Cost Estimate,US East (N. Virginia),Lambda for Application Servers,AWS Lambda,0,929.4,11152.8,USD,,"Invoke Mode (Buffered), Architecture (x86), Architecture (x86), Number of requests (500000000 per month), Amount of ephemeral storage allocated (512 MB), Time for which Provisioned Concurrency is enabled (500 hours), Number of requests for Provisioned Concurrency (2500000 per month)"
Increased_Cost Estimate,US East (N. Virginia),DynamoDB,DynamoDB on-demand capacity,0,2110.63,25327.56,USD,,"Table class (Standard), Average item size (all attributes) (1 KB), Data storage size (8 TB)"
Increased_Cost Estimate,US East (N. Virginia),DynamoDB,DynamoDB provisioned capacity,1530,2331.4,29506.8,USD,,"Table class (Standard), Average item size (all attributes) (1 KB), Write reserved capacity term (1 year), Read reserved capacity term (1 year), Data storage size (8 TB)"
Increased_Cost Estimate,US East (N. Virginia),DynamoDB,DynamoDB Backup and restore,0,1843.2,22118.4,USD,,"On-demand backup data storage (4 TB), Table data restored (4 TB), Point-In-Time Recovery (PITR) data storage (4 TB)"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Acknowledgement,,,,,,,,,
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services.",,,,,,,,,
,,,,,,,,,
Changes:,,,,,,,,,
"Amazon DynamoDB global tables are a fully managed, multi-Region, and multi-active database option",,,,,,,,,
DynamoDB Backup and restore feature,,,,,,,,,
Increase the number of EC2 instances for the Web servers,,,,,,,,,
Duplicate the whole system as a standby system on another Region,,,,,,,,,
,These systems share the same S3 and CloudFront,,,,,,,,
,The standby system has the separate resources and access to one of DynamoDB replica,,,,,,,,
,The standby system has minimal EC2 in the autoscaling group but can scale out if the standby system becomes a master,,,,,,,,
